company_id,year,cfo_sign,cfi_sign,cff_sign,capital_allocation_pattern,capital_allocation_label
GAIL,2021-03,+,-,-,+--,Reinvestor / Shareholder Returns
GAIL,2022-03,+,-,-,+--,Reinvestor / Shareholder Returns
GAIL,2023-03,+,-,+,+-+,Aggressive Growth (ops+external funding)
GAIL,2024-03,+,-,-,+--,Reinvestor / Shareholder Returns
GODREJCP,2013-03,+,-,+,+-+,Aggressive Growth (ops+external funding)
GODREJCP,2014-03,+,-,-,+--,Reinvestor / Shareholder Returns
GODREJCP,2015-03,+,-,-,+--,Reinvestor / Shareholder Returns
GODREJCP,2016-03,+,-,-,+--,Reinvestor / Shareholder Returns
GODREJCP,2017-03,+,-,+,+-+,Aggressive Growth (ops+external funding)
GODREJCP,2018-03,+,-,-,+--,Reinvestor / Shareholder Returns
GODREJCP,2019-03,+,+,-,++-,Divesting & Returning Capital
GODREJCP,2020-03,+,-,-,+--,Reinvestor / Shareholder Returns
GODREJCP,2021-03,+,-,-,+--,Reinvestor / Shareholder Returns
GODREJCP,2022-03,+,-,-,+--,Reinvestor / Shareholder Returns
GODREJCP,2023-03,+,-,-,+--,Reinvestor / Shareholder Returns
GODREJCP,2024-03,+,-,+,+-+,Aggressive Growth (ops+external funding)
GRASIM,2013-03,+,-,+,+-+,Aggressive Growth (ops+external funding)
GRASIM,2014-03,+,-,-,+--,Reinvestor / Shareholder Returns
GRASIM,2015-03,+,-,-,+--,Reinvestor / Shareholder Returns
GRASIM,2016-03,+,-,-,+--,Reinvestor / Shareholder Returns
GRASIM,2017-03,+,-,-,+--,Reinvestor / Shareholder Returns
GRASIM,2018-03,-,+,+,-++,Distress — External Funding to Survive
GRASIM,2019-03,-,-,+,--+,Heavy Investment Phase (external funded)
GRASIM,2020-03,+,-,-,+--,Reinvestor / Shareholder Returns
GRASIM,2021-03,+,-,-,+--,Reinvestor / Shareholder Returns
GRASIM,2022-03,+,-,-,+--,Reinvestor / Shareholder Returns
GRASIM,2023-03,-,-,+,--+,Heavy Investment Phase (external funded)
GRASIM,2024-03,-,-,+,--+,Heavy Investment Phase (external funded)
HAL,2017-03,-,+,-,-+-,Distress — Asset Sale + Debt Repay
HAL,2018-03,-,+,-,-+-,Distress — Asset Sale + Debt Repay
HAL,2019-03,-,+,+,-++,Distress — External Funding to Survive
HAL,2020-03,+,-,+,+-+,Aggressive Growth (ops+external funding)
HAL,2021-03,+,-,-,+--,Reinvestor / Shareholder Returns
HAL,2022-03,+,-,-,+--,Reinvestor / Shareholder Returns
HAL,2023-03,+,-,-,+--,Reinvestor / Shareholder Returns
HAL,2024-03,+,-,-,+--,Reinvestor / Shareholder Returns
HAVELLS,2013-03,+,-,-,+--,Reinvestor / Shareholder Returns
HAVELLS,2014-03,+,-,-,+--,Reinvestor / Shareholder Returns
HAVELLS,2015-03,+,-,-,+--,Reinvestor / Shareholder Returns
HAVELLS,2016-03,+,-,-,+--,Reinvestor / Shareholder Returns
HAVELLS,2017-03,+,-,-,+--,Reinvestor / Shareholder Returns
HAVELLS,2018-03,+,-,-,+--,Reinvestor / Shareholder Returns
HAVELLS,2019-03,+,+,-,++-,Divesting & Returning Capital
HAVELLS,2020-03,+,-,-,+--,Reinvestor / Shareholder Returns
HAVELLS,2021-03,+,-,+,+-+,Aggressive Growth (ops+external funding)
HAVELLS,2022-03,+,-,-,+--,Reinvestor / Shareholder Returns
HAVELLS,2023-03,+,+,-,++-,Divesting & Returning Capital
HAVELLS,2024-03,+,-,-,+--,Reinvestor / Shareholder Returns
HCLTECH,2013-06,+,-,-,+--,Reinvestor / Shareholder Returns
HCLTECH,2014-06,+,-,-,+--,Reinvestor / Shareholder Returns
HCLTECH,2015-06,+,-,-,+--,Reinvestor / Shareholder Returns
HCLTECH,2017-03,+,-,-,+--,Reinvestor / Shareholder Returns
HCLTECH,2018-03,+,-,-,+--,Reinvestor / Shareholder Returns
HCLTECH,2019-03,+,-,-,+--,Reinvestor / Shareholder Returns
HCLTECH,2020-03,+,-,-,+--,Reinvestor / Shareholder Returns
HCLTECH,2021-03,+,-,-,+--,Reinvestor / Shareholder Returns
HCLTECH,2022-03,+,+,-,++-,Divesting & Returning Capital
HCLTECH,2023-03,+,-,-,+--,Reinvestor / Shareholder Returns
HCLTECH,2024-03,+,-,-,+--,Reinvestor / Shareholder Returns
HDFCBANK,2013-03,-,-,+,--+,Heavy Investment Phase (external funded)
HDFCBANK,2014-03,+,-,+,+-+,Aggressive Growth (ops+external funding)
HDFCBANK,2015-03,-,-,+,--+,Heavy Investment Phase (external funded)
HDFCBANK,2016-03,-,-,+,--+,Heavy Investment Phase (external funded)
HDFCBANK,2017-03,+,-,-,+--,Reinvestor / Shareholder Returns
HDFCBANK,2018-03,+,-,+,+-+,Aggressive Growth (ops+external funding)
HDFCBANK,2019-03,-,-,+,--+,Heavy Investment Phase (external funded)
HDFCBANK,2020-03,-,-,+,--+,Heavy Investment Phase (external funded)
HDFCBANK,2021-03,+,-,-,+--,Reinvestor / Shareholder Returns
HDFCBANK,2022-03,-,-,+,--+,Heavy Investment Phase (external funded)
HDFCBANK,2023-03,+,-,+,+-+,Aggressive Growth (ops+external funding)
HDFCBANK,2024-03,+,+,-,++-,Divesting & Returning Capital
HDFCLIFE,2013-03,0,0,0,000,Other / Mixed Pattern
HDFCLIFE,2014-03,0,0,0,000,Other / Mixed Pattern
HDFCLIFE,2015-03,+,-,-,+--,Reinvestor / Shareholder Returns
HDFCLIFE,2016-03,+,-,-,+--,Reinvestor / Shareholder Returns
HDFCLIFE,2017-03,+,-,-,+--,Reinvestor / Shareholder Returns
HDFCLIFE,2018-03,+,-,-,+--,Reinvestor / Shareholder Returns
HDFCLIFE,2019-03,+,-,-,+--,Reinvestor / Shareholder Returns
HDFCLIFE,2020-03,+,-,+,+-+,Aggressive Growth (ops+external funding)
HDFCLIFE,2021-03,+,-,+,+-+,Aggressive Growth (ops+external funding)
HDFCLIFE,2022-03,+,-,-,+--,Reinvestor / Shareholder Returns
HDFCLIFE,2023-03,+,-,+,+-+,Aggressive Growth (ops+external funding)
HDFCLIFE,2024-03,+,-,-,+--,Reinvestor / Shareholder Returns
HEROMOTOCO,2014-03,+,-,-,+--,Reinvestor / Shareholder Returns
HEROMOTOCO,2015-03,+,+,-,++-,Divesting & Returning Capital
HEROMOTOCO,2016-03,+,-,-,+--,Reinvestor / Shareholder Returns
HEROMOTOCO,2017-03,+,-,-,+--,Reinvestor / Shareholder Returns
HEROMOTOCO,2018-03,+,-,-,+--,Reinvestor / Shareholder Returns
HEROMOTOCO,2019-03,+,+,-,++-,Divesting & Returning Capital
HEROMOTOCO,2020-03,+,-,-,+--,Reinvestor / Shareholder Returns
HEROMOTOCO,2021-03,+,-,-,+--,Reinvestor / Shareholder Returns
HEROMOTOCO,2022-03,+,-,-,+--,Reinvestor / Shareholder Returns
HEROMOTOCO,2023-03,+,-,-,+--,Reinvestor / Shareholder Returns
HEROMOTOCO,2024-03,+,-,-,+--,Reinvestor / Shareholder Returns
HINDALCO,2013-03,+,-,+,+-+,Aggressive Growth (ops+external funding)
HINDALCO,2014-03,+,-,+,+-+,Aggressive Growth (ops+external funding)
HINDALCO,2015-03,+,-,-,+--,Reinvestor / Shareholder Returns
HINDALCO,2016-03,+,-,-,+--,Reinvestor / Shareholder Returns
HINDALCO,2017-03,+,-,-,+--,Reinvestor / Shareholder Returns
HINDALCO,2018-03,+,+,-,++-,Divesting & Returning Capital
HINDALCO,2019-03,+,-,-,+--,Reinvestor / Shareholder Returns
HINDALCO,2020-03,+,-,+,+-+,Aggressive Growth (ops+external funding)
HINDALCO,2021-03,+,-,-,+--,Reinvestor / Shareholder Returns
HINDALCO,2022-03,+,-,-,+--,Reinvestor / Shareholder Returns
HINDALCO,2023-03,+,-,-,+--,Reinvestor / Shareholder Returns
HINDALCO,2024-03,+,-,-,+--,Reinvestor / Shareholder Returns
HINDUNILVR,2013-03,+,+,-,++-,Divesting & Returning Capital
HINDUNILVR,2014-03,+,-,-,+--,Reinvestor / Shareholder Returns
HINDUNILVR,2015-03,+,+,-,++-,Divesting & Returning Capital
HINDUNILVR,2016-03,+,-,-,+--,Reinvestor / Shareholder Returns
HINDUNILVR,2017-03,+,-,-,+--,Reinvestor / Shareholder Returns
HINDUNILVR,2018-03,+,-,-,+--,Reinvestor / Shareholder Returns
HINDUNILVR,2019-03,+,-,-,+--,Reinvestor / Shareholder Returns
HINDUNILVR,2020-03,+,+,-,++-,Divesting & Returning Capital
HINDUNILVR,2021-03,+,-,-,+--,Reinvestor / Shareholder Returns
HINDUNILVR,2022-03,+,-,-,+--,Reinvestor / Shareholder Returns
HINDUNILVR,2023-03,+,-,-,+--,Reinvestor / Shareholder Returns
HINDUNILVR,2024-03,+,-,-,+--,Reinvestor / Shareholder Returns
ICICIBANK,2013-03,+,-,+,+-+,Aggressive Growth (ops+external funding)
ICICIBANK,2014-03,+,-,+,+-+,Aggressive Growth (ops+external funding)
ICICIBANK,2015-03,-,-,+,--+,Heavy Investment Phase (external funded)
ICICIBANK,2016-03,+,-,+,+-+,Aggressive Growth (ops+external funding)
ICICIBANK,2017-03,+,-,-,+--,Reinvestor / Shareholder Returns
ICICIBANK,2018-03,+,-,+,+-+,Aggressive Growth (ops+external funding)
ICICIBANK,2019-03,+,-,-,+--,Reinvestor / Shareholder Returns
ICICIBANK,2020-03,+,-,+,+-+,Aggressive Growth (ops+external funding)
ICICIBANK,2021-03,+,-,-,+--,Reinvestor / Shareholder Returns
ICICIBANK,2022-03,+,-,+,+-+,Aggressive Growth (ops+external funding)
ICICIBANK,2023-03,-,-,+,--+,Heavy Investment Phase (external funded)
ICICIBANK,2024-03,+,-,+,+-+,Aggressive Growth (ops+external funding)
ICICIGI,2013-03,+,-,+,+-+,Aggressive Growth (ops+external funding)
ICICIGI,2014-03,+,-,+,+-+,Aggressive Growth (ops+external funding)
ICICIGI,2015-03,-,+,-,-+-,Distress — Asset Sale + Debt Repay
ICICIGI,2016-03,+,-,-,+--,Reinvestor / Shareholder Returns
ICICIGI,2017-03,+,-,+,+-+,Aggressive Growth (ops+external funding)
ICICIGI,2018-03,+,-,-,+--,Reinvestor / Shareholder Returns
ICICIGI,2019-03,+,-,-,+--,Reinvestor / Shareholder Returns
ICICIGI,2020-03,+,-,-,+--,Reinvestor / Shareholder Returns
ICICIGI,2021-03,+,-,-,+--,Reinvestor / Shareholder Returns
ICICIGI,2022-03,+,+,-,++-,Divesting & Returning Capital
ICICIGI,2023-03,+,-,-,+--,Reinvestor / Shareholder Returns
ICICIGI,2024-03,+,-,-,+--,Reinvestor / Shareholder Returns
ICICIPRULI,2013-03,-,+,-,-+-,Distress — Asset Sale + Debt Repay
ICICIPRULI,2014-03,-,+,-,-+-,Distress — Asset Sale + Debt Repay
ICICIPRULI,2015-03,+,-,-,+--,Reinvestor / Shareholder Returns
ICICIPRULI,2016-03,+,+,-,++-,Divesting & Returning Capital
ICICIPRULI,2017-03,+,-,-,+--,Reinvestor / Shareholder Returns
ICICIPRULI,2018-03,+,-,-,+--,Reinvestor / Shareholder Returns
ICICIPRULI,2019-03,+,-,-,+--,Reinvestor / Shareholder Returns
ICICIPRULI,2020-03,+,-,-,+--,Reinvestor / Shareholder Returns
ICICIPRULI,2021-03,+,-,+,+-+,Aggressive Growth (ops+external funding)
ICICIPRULI,2022-03,+,-,-,+--,Reinvestor / Shareholder Returns
ICICIPRULI,2023-03,+,-,-,+--,Reinvestor / Shareholder Returns
ICICIPRULI,2024-03,-,+,-,-+-,Distress — Asset Sale + Debt Repay
INDUSINDBK,2013-03,-,-,+,--+,Heavy Investment Phase (external funded)
INDUSINDBK,2014-03,-,-,+,--+,Heavy Investment Phase (external funded)
INDUSINDBK,2015-03,-,-,+,--+,Heavy Investment Phase (external funded)
INDUSINDBK,2016-03,-,-,+,--+,Heavy Investment Phase (external funded)
INDUSINDBK,2017-03,+,-,-,+--,Reinvestor / Shareholder Returns
INDUSINDBK,2018-03,-,-,+,--+,Heavy Investment Phase (external funded)
INDUSINDBK,2019-03,-,-,+,--+,Heavy Investment Phase (external funded)
INDUSINDBK,2020-03,-,+,+,-++,Distress — External Funding to Survive
INDUSINDBK,2021-03,+,-,-,+--,Reinvestor / Shareholder Returns
INDUSINDBK,2022-03,+,-,-,+--,Reinvestor / Shareholder Returns
INDUSINDBK,2023-03,-,-,+,--+,Heavy Investment Phase (external funded)
INDUSINDBK,2024-03,-,-,-,---,Cash Burn — Self-funded Investment
INFY,2013-03,+,-,-,+--,Reinvestor / Shareholder Returns
INFY,2014-03,+,-,-,+--,Reinvestor / Shareholder Returns
INFY,2015-03,+,+,-,++-,Divesting & Returning Capital
INFY,2016-03,+,-,-,+--,Reinvestor / Shareholder Returns
INFY,2017-03,+,-,-,+--,Reinvestor / Shareholder Returns
INFY,2018-03,+,+,-,++-,Divesting & Returning Capital
INFY,2019-03,+,-,-,+--,Reinvestor / Shareholder Returns
INFY,2020-03,+,-,-,+--,Reinvestor / Shareholder Returns
INFY,2021-03,+,-,-,+--,Reinvestor / Shareholder Returns
INFY,2022-03,+,-,-,+--,Reinvestor / Shareholder Returns
INFY,2023-03,+,-,-,+--,Reinvestor / Shareholder Returns
INFY,2024-03,+,-,-,+--,Reinvestor / Shareholder Returns
IOC,2013-03,+,-,+,+-+,Aggressive Growth (ops+external funding)
IOC,2014-03,+,-,-,+--,Reinvestor / Shareholder Returns
IOC,2015-03,+,-,-,+--,Reinvestor / Shareholder Returns
IOC,2016-03,+,-,-,+--,Reinvestor / Shareholder Returns
IOC,2017-03,+,-,-,+--,Reinvestor / Shareholder Returns
IOC,2018-03,+,-,-,+--,Reinvestor / Shareholder Returns
IOC,2019-03,+,-,+,+-+,Aggressive Growth (ops+external funding)
IOC,2020-03,+,-,+,+-+,Aggressive Growth (ops+external funding)
IOC,2021-03,+,-,-,+--,Reinvestor / Shareholder Returns
IOC,2022-03,+,-,-,+--,Reinvestor / Shareholder Returns
IOC,2023-03,+,-,-,+--,Reinvestor / Shareholder Returns
IOC,2024-03,+,-,-,+--,Reinvestor / Shareholder Returns
IRCTC,2015-03,+,-,-,+--,Reinvestor / Shareholder Returns
IRCTC,2016-03,+,+,-,++-,Divesting & Returning Capital
IRCTC,2017-03,+,+,-,++-,Divesting & Returning Capital
IRCTC,2018-03,+,+,-,++-,Divesting & Returning Capital
IRCTC,2019-03,+,-,-,+--,Reinvestor / Shareholder Returns
IRCTC,2020-03,+,+,-,++-,Divesting & Returning Capital
IRCTC,2021-03,+,-,-,+--,Reinvestor / Shareholder Returns
IRCTC,2022-03,+,-,-,+--,Reinvestor / Shareholder Returns
IRCTC,2023-03,+,-,-,+--,Reinvestor / Shareholder Returns
IRCTC,2024-03,+,-,-,+--,Reinvestor / Shareholder Returns
IRFC,2016-03,-,+,+,-++,Distress — External Funding to Survive
IRFC,2017-03,-,+,+,-++,Distress — External Funding to Survive
IRFC,2018-03,-,+,+,-++,Distress — External Funding to Survive
IRFC,2019-03,-,+,+,-++,Distress — External Funding to Survive
IRFC,2020-03,-,+,+,-++,Distress — External Funding to Survive
IRFC,2021-03,-,0,+,-0+,Other / Mixed Pattern
IRFC,2022-03,-,-,+,--+,Heavy Investment Phase (external funded)
IRFC,2023-03,-,0,+,-0+,Other / Mixed Pattern
IRFC,2024-03,+,-,-,+--,Reinvestor / Shareholder Returns
ITC,2013-03,+,-,-,+--,Reinvestor / Shareholder Returns
ITC,2014-03,+,-,-,+--,Reinvestor / Shareholder Returns
ITC,2015-03,+,-,-,+--,Reinvestor / Shareholder Returns
ITC,2016-03,+,-,-,+--,Reinvestor / Shareholder Returns
ITC,2017-03,+,-,-,+--,Reinvestor / Shareholder Returns
ITC,2018-03,+,-,-,+--,Reinvestor / Shareholder Returns
ITC,2019-03,+,-,-,+--,Reinvestor / Shareholder Returns
ITC,2020-03,+,-,-,+--,Reinvestor / Shareholder Returns
ITC,2021-03,+,+,-,++-,Divesting & Returning Capital
ITC,2022-03,+,-,-,+--,Reinvestor / Shareholder Returns
ITC,2023-03,+,-,-,+--,Reinvestor / Shareholder Returns
ITC,2024-03,+,+,-,++-,Divesting & Returning Capital
JINDALSTEL,2013-03,+,-,+,+-+,Aggressive Growth (ops+external funding)
JINDALSTEL,2014-03,+,-,+,+-+,Aggressive Growth (ops+external funding)
JINDALSTEL,2015-03,+,-,+,+-+,Aggressive Growth (ops+external funding)
JINDALSTEL,2016-03,+,-,-,+--,Reinvestor / Shareholder Returns
JINDALSTEL,2017-03,+,-,-,+--,Reinvestor / Shareholder Returns
JINDALSTEL,2018-03,+,-,-,+--,Reinvestor / Shareholder Returns
JINDALSTEL,2019-03,+,-,-,+--,Reinvestor / Shareholder Returns
JINDALSTEL,2020-03,+,-,-,+--,Reinvestor / Shareholder Returns
JINDALSTEL,2021-03,+,-,-,+--,Reinvestor / Shareholder Returns
JINDALSTEL,2022-03,+,-,-,+--,Reinvestor / Shareholder Returns
JINDALSTEL,2023-03,+,-,-,+--,Reinvestor / Shareholder Returns
JINDALSTEL,2024-03,+,-,+,+-+,Aggressive Growth (ops+external funding)
JIOFIN,2023-03,+,-,-,+--,Reinvestor / Shareholder Returns
JIOFIN,2024-03,-,+,-,-+-,Distress — Asset Sale + Debt Repay
JSWENERGY,2013-03,+,-,-,+--,Reinvestor / Shareholder Returns
JSWENERGY,2014-03,+,-,-,+--,Reinvestor / Shareholder Returns
JSWENERGY,2015-03,+,-,-,+--,Reinvestor / Shareholder Returns
JSWENERGY,2016-03,+,-,-,+--,Reinvestor / Shareholder Returns
JSWENERGY,2017-03,+,-,-,+--,Reinvestor / Shareholder Returns
JSWENERGY,2018-03,+,-,-,+--,Reinvestor / Shareholder Returns
JSWENERGY,2019-03,+,-,-,+--,Reinvestor / Shareholder Returns
JSWENERGY,2020-03,+,+,-,++-,Divesting & Returning Capital
JSWENERGY,2021-03,+,-,-,+--,Reinvestor / Shareholder Returns
JSWENERGY,2022-03,+,-,-,+--,Reinvestor / Shareholder Returns
JSWENERGY,2023-03,+,-,+,+-+,Aggressive Growth (ops+external funding)
JSWENERGY,2024-03,+,-,+,+-+,Aggressive Growth (ops+external funding)
JSWSTEEL,2013-03,+,-,-,+--,Reinvestor / Shareholder Returns
JSWSTEEL,2014-03,+,-,+,+-+,Aggressive Growth (ops+external funding)
JSWSTEEL,2015-03,+,-,-,+--,Reinvestor / Shareholder Returns
JSWSTEEL,2016-03,+,-,-,+--,Reinvestor / Shareholder Returns
JSWSTEEL,2017-03,+,-,-,+--,Reinvestor / Shareholder Returns
JSWSTEEL,2018-03,+,-,-,+--,Reinvestor / Shareholder Returns
JSWSTEEL,2019-03,+,-,+,+-+,Aggressive Growth (ops+external funding)
JSWSTEEL,2020-03,+,-,+,+-+,Aggressive Growth (ops+external funding)
JSWSTEEL,2021-03,+,-,-,+--,Reinvestor / Shareholder Returns
JSWSTEEL,2022-03,+,-,-,+--,Reinvestor / Shareholder Returns
JSWSTEEL,2023-03,+,-,-,+--,Reinvestor / Shareholder Returns
JSWSTEEL,2024-03,+,-,-,+--,Reinvestor / Shareholder Returns
KOTAKBANK,2013-03,+,-,+,+-+,Aggressive Growth (ops+external funding)
KOTAKBANK,2014-03,+,-,-,+--,Reinvestor / Shareholder Returns
KOTAKBANK,2015-03,+,-,+,+-+,Aggressive Growth (ops+external funding)
KOTAKBANK,2016-03,+,-,+,+-+,Aggressive Growth (ops+external funding)
KOTAKBANK,2017-03,+,-,+,+-+,Aggressive Growth (ops+external funding)
KOTAKBANK,2018-03,-,-,+,--+,Heavy Investment Phase (external funded)
KOTAKBANK,2019-03,+,-,+,+-+,Aggressive Growth (ops+external funding)
KOTAKBANK,2020-03,+,-,-,+--,Reinvestor / Shareholder Returns
KOTAKBANK,2021-03,+,-,-,+--,Reinvestor / Shareholder Returns
KOTAKBANK,2022-03,+,-,+,+-+,Aggressive Growth (ops+external funding)
KOTAKBANK,2023-03,-,-,+,--+,Heavy Investment Phase (external funded)
KOTAKBANK,2024-03,+,-,+,+-+,Aggressive Growth (ops+external funding)
LICI,2019-03,+,+,-,++-,Divesting & Returning Capital
LICI,2020-03,+,-,-,+--,Reinvestor / Shareholder Returns
LICI,2021-03,+,+,-,++-,Divesting & Returning Capital
LICI,2022-03,-,+,0,-+0,Other / Mixed Pattern
LICI,2023-03,+,-,-,+--,Reinvestor / Shareholder Returns
LICI,2024-03,+,-,-,+--,Reinvestor / Shareholder Returns
LODHA,2016-03,+,-,+,+-+,Aggressive Growth (ops+external funding)
LODHA,2017-03,+,-,-,+--,Reinvestor / Shareholder Returns
LODHA,2018-03,+,-,+,+-+,Aggressive Growth (ops+external funding)
LODHA,2019-03,-,-,+,--+,Heavy Investment Phase (external funded)
LODHA,2020-03,+,+,-,++-,Divesting & Returning Capital
LODHA,2021-03,+,+,-,++-,Divesting & Returning Capital
LODHA,2022-03,+,+,-,++-,Divesting & Returning Capital
LODHA,2023-03,+,+,-,++-,Divesting & Returning Capital
LODHA,2024-03,+,-,+,+-+,Aggressive Growth (ops+external funding)
LT,2013-03,-,-,+,--+,Heavy Investment Phase (external funded)
LT,2014-03,-,-,+,--+,Heavy Investment Phase (external funded)
LT,2015-03,-,-,+,--+,Heavy Investment Phase (external funded)
LT,2016-03,-,-,+,--+,Heavy Investment Phase (external funded)
LT,2017-03,+,-,+,+-+,Aggressive Growth (ops+external funding)
LT,2018-03,-,+,+,-++,Distress — External Funding to Survive
LT,2019-03,-,-,+,--+,Heavy Investment Phase (external funded)
LT,2020-03,+,-,+,+-+,Aggressive Growth (ops+external funding)
LT,2021-03,+,-,-,+--,Reinvestor / Shareholder Returns
LT,2022-03,+,-,-,+--,Reinvestor / Shareholder Returns
LT,2023-03,+,-,-,+--,Reinvestor / Shareholder Returns
LT,2024-03,+,+,-,++-,Divesting & Returning Capital
LTIM,2013-03,+,-,-,+--,Reinvestor / Shareholder Returns
LTIM,2014-03,+,+,-,++-,Divesting & Returning Capital
LTIM,2015-03,+,-,-,+--,Reinvestor / Shareholder Returns
LTIM,2016-03,+,-,-,+--,Reinvestor / Shareholder Returns
LTIM,2017-03,+,-,-,+--,Reinvestor / Shareholder Returns
LTIM,2018-03,+,-,-,+--,Reinvestor / Shareholder Returns
LTIM,2019-03,+,-,-,+--,Reinvestor / Shareholder Returns
LTIM,2020-03,+,-,-,+--,Reinvestor / Shareholder Returns
LTIM,2021-03,+,-,-,+--,Reinvestor / Shareholder Returns
LTIM,2022-03,+,-,-,+--,Reinvestor / Shareholder Returns
LTIM,2023-03,+,-,-,+--,Reinvestor / Shareholder Returns
LTIM,2024-03,+,-,-,+--,Reinvestor / Shareholder Returns
M&M,2013-03,-,-,+,--+,Heavy Investment Phase (external funded)
M&M,2014-03,-,-,+,--+,Heavy Investment Phase (external funded)
M&M,2015-03,+,-,+,+-+,Aggressive Growth (ops+external funding)
M&M,2016-03,+,-,+,+-+,Aggressive Growth (ops+external funding)
M&M,2017-03,+,-,+,+-+,Aggressive Growth (ops+external funding)
M&M,2018-03,+,-,+,+-+,Aggressive Growth (ops+external funding)
M&M,2019-03,-,-,+,--+,Heavy Investment Phase (external funded)
M&M,2020-03,-,-,+,--+,Heavy Investment Phase (external funded)
M&M,2021-03,+,-,+,+-+,Aggressive Growth (ops+external funding)
M&M,2022-03,+,-,-,+--,Reinvestor / Shareholder Returns
M&M,2023-03,-,-,+,--+,Heavy Investment Phase (external funded)
M&M,2024-03,-,-,+,--+,Heavy Investment Phase (external funded)
MARUTI,2013-03,+,-,-,+--,Reinvestor / Shareholder Returns
MARUTI,2014-03,+,-,-,+--,Reinvestor / Shareholder Returns
MARUTI,2015-03,+,-,-,+--,Reinvestor / Shareholder Returns
MARUTI,2016-03,+,-,-,+--,Reinvestor / Shareholder Returns
MARUTI,2017-03,+,-,-,+--,Reinvestor / Shareholder Returns
MARUTI,2018-03,+,-,-,+--,Reinvestor / Shareholder Returns
MARUTI,2019-03,+,-,-,+--,Reinvestor / Shareholder Returns
MARUTI,2020-03,+,-,-,+--,Reinvestor / Shareholder Returns
MARUTI,2021-03,+,-,-,+--,Reinvestor / Shareholder Returns
MARUTI,2022-03,+,-,-,+--,Reinvestor / Shareholder Returns
MARUTI,2023-03,+,-,-,+--,Reinvestor / Shareholder Returns
MARUTI,2024-03,+,-,-,+--,Reinvestor / Shareholder Returns
MOTHERSON,2013-03,+,-,-,+--,Reinvestor / Shareholder Returns
MOTHERSON,2014-03,+,-,-,+--,Reinvestor / Shareholder Returns
MOTHERSON,2015-03,+,-,+,+-+,Aggressive Growth (ops+external funding)
MOTHERSON,2016-03,+,-,-,+--,Reinvestor / Shareholder Returns
MOTHERSON,2017-03,+,-,+,+-+,Aggressive Growth (ops+external funding)
MOTHERSON,2018-03,+,-,-,+--,Reinvestor / Shareholder Returns
MOTHERSON,2019-03,+,-,-,+--,Reinvestor / Shareholder Returns
MOTHERSON,2020-03,+,-,-,+--,Reinvestor / Shareholder Returns
MOTHERSON,2021-03,+,-,-,+--,Reinvestor / Shareholder Returns
MOTHERSON,2022-03,+,-,-,+--,Reinvestor / Shareholder Returns
MOTHERSON,2023-03,+,-,-,+--,Reinvestor / Shareholder Returns
MOTHERSON,2024-03,+,-,+,+-+,Aggressive Growth (ops+external funding)
NAUKRI,2013-03,+,-,-,+--,Reinvestor / Shareholder Returns
NAUKRI,2014-03,+,-,+,+-+,Aggressive Growth (ops+external funding)
NAUKRI,2015-03,+,-,+,+-+,Aggressive Growth (ops+external funding)
NAUKRI,2016-03,+,-,-,+--,Reinvestor / Shareholder Returns
NAUKRI,2017-03,+,-,-,+--,Reinvestor / Shareholder Returns
NAUKRI,2018-03,+,-,-,+--,Reinvestor / Shareholder Returns
NAUKRI,2019-03,+,-,-,+--,Reinvestor / Shareholder Returns
NAUKRI,2020-03,+,+,-,++-,Divesting & Returning Capital
NAUKRI,2021-03,+,-,+,+-+,Aggressive Growth (ops+external funding)
NAUKRI,2022-03,+,-,+,+-+,Aggressive Growth (ops+external funding)
NAUKRI,2023-03,+,-,+,+-+,Aggressive Growth (ops+external funding)
NAUKRI,2024-03,+,-,+,+-+,Aggressive Growth (ops+external funding)
NESTLEIND,2013-12,+,-,-,+--,Reinvestor / Shareholder Returns
NESTLEIND,2014-12,+,-,-,+--,Reinvestor / Shareholder Returns
NESTLEIND,2015-12,+,-,-,+--,Reinvestor / Shareholder Returns
NESTLEIND,2016-12,+,-,-,+--,Reinvestor / Shareholder Returns
NESTLEIND,2017-12,+,-,-,+--,Reinvestor / Shareholder Returns
NESTLEIND,2018-12,+,-,-,+--,Reinvestor / Shareholder Returns
NESTLEIND,2019-12,+,+,-,++-,Divesting & Returning Capital
NESTLEIND,2020-12,+,-,-,+--,Reinvestor / Shareholder Returns
NESTLEIND,2021-12,+,-,-,+--,Reinvestor / Shareholder Returns
NESTLEIND,2022-12,+,-,-,+--,Reinvestor / Shareholder Returns
NESTLEIND,2023-12,+,-,-,+--,Reinvestor / Shareholder Returns
NESTLEIND,2024-03,+,-,-,+--,Reinvestor / Shareholder Returns
NHPC,2013-03,+,-,-,+--,Reinvestor / Shareholder Returns
NHPC,2014-03,+,-,-,+--,Reinvestor / Shareholder Returns
NHPC,2015-03,+,-,-,+--,Reinvestor / Shareholder Returns
NHPC,2016-03,+,-,-,+--,Reinvestor / Shareholder Returns
NHPC,2017-03,+,-,-,+--,Reinvestor / Shareholder Returns
NHPC,2018-03,+,-,-,+--,Reinvestor / Shareholder Returns
NHPC,2019-03,+,-,-,+--,Reinvestor / Shareholder Returns
NHPC,2020-03,+,-,+,+-+,Aggressive Growth (ops+external funding)
NHPC,2021-03,+,-,-,+--,Reinvestor / Shareholder Returns
NHPC,2022-03,+,-,-,+--,Reinvestor / Shareholder Returns
